,country,year,DMT
692,Uganda,1999,-21.73590417411
693,Ukraine,1999,-21.6685713982364
694,United Arab Emirates,1999,-23.448422219792
695,United Kingdom,1999,-23.886865923864
696,United States of America,1999,-23.6858578433317
697,United States Virgin Islands,1999,
698,Uruguay,1999,-21.6531426250857
699,Uzbekistan,1999,-20.4070982117336
700,Vanuatu,1999,-21.1332350722057
701,Venezuela,1999,-22.3207323753391
702,Viet Nam,1999,-21.9333253775212
703,Wallis and Futuna Islands,1999,
704,Western Sahara,1999,
705,Yemen,1999,-23.6256522932753
706,Zambia,1999,-19.5180044793481
707,Zimbabwe,1999,-21.8557420715977
708,Afghanistan,2000,
709,Albania,2000,-22.4649549103701
710,Algeria,2000,-22.9819086032734
711,American Samoa,2000,
712,Andorra,2000,
713,Angola,2000,-20.6467028430947
714,Anguilla,2000,
715,Antigua and Barbuda,2000,-23.0141181424096
716,Argentina,2000,-22.4847595223163
717,Armenia,2000,-22.5309698253836
718,Aruba,2000,
719,Australia,2000,-22.2661295792894
720,Austria,2000,-24.4524197866471
721,Azerbaijan,2000,-21.7629529392983
722,Bahamas,2000,-24.0966312430442
723,Bahrain,2000,-22.9074859161756
724,Bangladesh,2000,-21.991834219331
725,Barbados,2000,-21.4354573474088
726,Belarus,2000,-22.407742891482
727,Belgium,2000,-24.4683862181936
728,Belize,2000,-19.3737469501682
729,Benin,2000,-21.9266056837535
730,Bermuda,2000,
731,Bhutan,2000,-22.1462604756309
732,Bolivia,2000,-21.5816828028499
733,Bosnia and Herzegovina,2000,-22.5340164587102
734,Botswana,2000,-20.9770323620886
735,Brazil,2000,-22.7061508323765
736,British Virgin Islands,2000,
737,Brunei Darussalam,2000,-21.6470892219098
738,Bulgaria,2000,-22.6967181815076
739,Burkina Faso,2000,-21.1647358112482
740,Burundi,2000,-22.1477776038371
741,Cambodia,2000,-20.8811309052413
742,Cameroon,2000,-21.9047361945733
743,Canada,2000,-23.1848255674672
744,Cape Verde,2000,-23.8679741849414
745,Cayman Islands,2000,
746,Central African Republic,2000,-18.909325428321
747,Chad,2000,-20.2415995864354
748,Chile,2000,-23.7175073776185
749,China,2000,-22.6345194163725
750,Colombia,2000,-22.5790100753893
751,Comoros,2000,-22.3875184454216
752,Cook Islands,2000,
753,Costa Rica,2000,-23.207827405099
754,Cote d'Ivoire,2000,-21.9445898203349
755,Croatia,2000,-23.8116366126341
756,Cuba,2000,-23.1669878285381
757,Curacao,2000,
758,Cyprus,2000,-24.6430771229941
759,Czech Republic,2000,-23.6210480186146
760,Dem. Rep. Congo,2000,-20.4135773764018
761,Denmark,2000,-24.1484442565943
