,country,year,DPT
871,Philippines,2008,491.0554
872,Pitcairn,2008,
873,Poland,2008,674.704
874,Portugal,2008,387.243
875,Puerto Rico,2008,
876,Qatar,2008,536.5577
877,Republic of Congo,2008,108.0694
878,Reunion,2008,
879,Romania,2008,450.3806
880,Russia,2008,331.4592
881,Rwanda,2008,
882,Saint Helena,2008,
883,Saint Kitts and Nevis,2008,
884,Saint Lucia,2008,
885,Saint Pierre and Miquelon,2008,
886,Saint Vincent and the Grenadines,2008,
887,Samoa,2008,
888,San Marino,2008,
889,Sao Tome and Principe,2008,
890,Saudi Arabia,2008,741.3706
891,Senegal,2008,600.9977
892,Serbia,2008,653.9866
893,Seychelles,2008,
894,Sierra Leone,2008,
895,Singapore,2008,476.6323
896,Sint Maarten,2008,
897,Slovakia,2008,221.648
898,Slovenia,2008,335.375
899,Solomon Islands,2008,
900,Somalia,2008,
901,South Africa,2008,967.0424
902,South Korea,2008,469.59
903,South Sudan,2008,
904,Spain,2008,330.139
905,Sri Lanka,2008,386.4825
906,State of Palestine,2008,
907,Sudan,2008,606.8538
908,Suriname,2008,222.5316
909,Svalbard and Jan Mayen Islands,2008,
910,Swaziland,2008,
911,Sweden,2008,39.311
912,Switzerland,2008,39.457
913,Syria,2008,632.0224
914,Taiwan,2008,656.9925
915,Tajikistan,2008,11.9398
916,Tanzania,2008,281.4675
917,Thailand,2008,534.854
918,Timor-Leste,2008,
919,Togo,2008,208.5691
920,Tokelau,2008,
921,Tonga,2008,
922,Trinidad and Tobago,2008,702.9151
923,Tunisia,2008,496.2074
924,Turkey,2008,503.679
925,Turkmenistan,2008,848.3472
926,Turks and Caicos Islands,2008,
927,Tuvalu,2008,
928,Uganda,2008,
929,Ukraine,2008,356.097
930,United Arab Emirates,2008,768.9873
931,United Kingdom,2008,491.456
932,United States of America,2008,544.441
933,United States Virgin Islands,2008,
934,Uruguay,2008,310.0198
935,Uzbekistan,2008,447.5009
936,Vanuatu,2008,
937,Venezuela,2008,204.4149
938,Viet Nam,2008,411.0972
939,Wallis and Futuna Islands,2008,
940,Western Sahara,2008,
941,Yemen,2008,814.5539
942,Zambia,2008,2.6584
943,Zimbabwe,2008,348.3631
944,Afghanistan,2009,
945,Albania,2009,1.1899
946,Algeria,2009,640.6606
947,American Samoa,2009,
948,Andorra,2009,
949,Angola,2009,469.988
950,Anguilla,2009,
951,Antigua and Barbuda,2009,
952,Argentina,2009,361.5051
953,Armenia,2009,108.5436
954,Aruba,2009,
955,Australia,2009,893.922
956,Austria,2009,168.177
957,Azerbaijan,2009,469.0663
958,Bahamas,2009,
959,Bahrain,2009,788.521
960,Bangladesh,2009,573.1946
961,Barbados,2009,
962,Belarus,2009,304.0931
963,Belgium,2009,214.959
964,Belize,2009,
965,Benin,2009,726.6094
966,Bermuda,2009,
967,Bhutan,2009,
968,Bolivia,2009,395.2339
